IMIĘ_PIERWSZE;PŁEĆ;LICZBA_WYSTĄPIEŃ
PIOTR;MĘŻCZYZNA;694913
KRZYSZTOF;MĘŻCZYZNA;649962
ANDRZEJ;MĘŻCZYZNA;552430
TOMASZ;MĘŻCZYZNA;539395
PAWEŁ;MĘŻCZYZNA;509349
JAN;MĘŻCZYZNA;493283
MICHAŁ;MĘŻCZYZNA;490588
MARCIN;MĘŻCZYZNA;451581
JAKUB;MĘŻCZYZNA;416804
ADAM;MĘŻCZYZNA;401076
MAREK;MĘŻCZYZNA;386516
STANISŁAW;MĘŻCZYZNA;384927
ŁUKASZ;MĘŻCZYZNA;384626
GRZEGORZ;MĘŻCZYZNA;379321
MATEUSZ;MĘŻCZYZNA;375489
WOJCIECH;MĘŻCZYZNA;333428
MARIUSZ;MĘŻCZYZNA;289842
DARIUSZ;MĘŻCZYZNA;288089
ZBIGNIEW;MĘŻCZYZNA;273220
MACIEJ;MĘŻCZYZNA;267630
RAFAŁ;MĘŻCZYZNA;262926
ROBERT;MĘŻCZYZNA;260967
JERZY;MĘŻCZYZNA;251903
KAMIL;MĘŻCZYZNA;250459
DAWID;MĘŻCZYZNA;235973
JACEK;MĘŻCZYZNA;234901
SZYMON;MĘŻCZYZNA;233342
JÓZEF;MĘŻCZYZNA;222884
KACPER;MĘŻCZYZNA;221892
RYSZARD;MĘŻCZYZNA;213382
TADEUSZ;MĘŻCZYZNA;212578
BARTOSZ;MĘŻCZYZNA;202162
JAROSŁAW;MĘŻCZYZNA;193289
ARTUR;MĘŻCZYZNA;191209
SŁAWOMIR;MĘŻCZYZNA;187960
JANUSZ;MĘŻCZYZNA;187909
SEBASTIAN;MĘŻCZYZNA;185466
MIROSŁAW;MĘŻCZYZNA;184813
DAMIAN;MĘŻCZYZNA;183726
PATRYK;MĘŻCZYZNA;179254
HENRYK;MĘŻCZYZNA;172554
DANIEL;MĘŻCZYZNA;167276
PRZEMYSŁAW;MĘŻCZYZNA;166194
KAROL;MĘŻCZYZNA;165244
ROMAN;MĘŻCZYZNA;164910
FILIP;MĘŻCZYZNA;162071
ANTONI;MĘŻCZYZNA;161690
KAZIMIERZ;MĘŻCZYZNA;154376
ADRIAN;MĘŻCZYZNA;147761
ALEKSANDER;MĘŻCZYZNA;144324
WIESŁAW;MĘŻCZYZNA;143949
MARIAN;MĘŻCZYZNA;139103
ARKADIUSZ;MĘŻCZYZNA;134303
DOMINIK;MĘŻCZYZNA;132383
FRANCISZEK;MĘŻCZYZNA;130248
MIKOŁAJ;MĘŻCZYZNA;127033
BARTŁOMIEJ;MĘŻCZYZNA;124872
LESZEK;MĘŻCZYZNA;116842
KRYSTIAN;MĘŻCZYZNA;111241
WIKTOR;MĘŻCZYZNA;110496
WALDEMAR;MĘŻCZYZNA;109965
RADOSŁAW;MĘŻCZYZNA;103971
ZDZISŁAW;MĘŻCZYZNA;99873
BOGDAN;MĘŻCZYZNA;97051
KONRAD;MĘŻCZYZNA;90698
HUBERT;MĘŻCZYZNA;87450
EDWARD;MĘŻCZYZNA;86096
IGOR;MĘŻCZYZNA;85862
MIECZYSŁAW;MĘŻCZYZNA;82763
WŁADYSŁAW;MĘŻCZYZNA;78312
OSKAR;MĘŻCZYZNA;73207
CZESŁAW;MĘŻCZYZNA;71726
MARCEL;MĘŻCZYZNA;71533
OLEKSANDR;MĘŻCZYZNA;69767
EUGENIUSZ;MĘŻCZYZNA;66252
MAKSYMILIAN;MĘŻCZYZNA;64172
BOGUSŁAW;MĘŻCZYZNA;61611
MIŁOSZ;MĘŻCZYZNA;60969
IRENEUSZ;MĘŻCZYZNA;60925
STEFAN;MĘŻCZYZNA;59388
WITOLD;MĘŻCZYZNA;56429
ZYGMUNT;MĘŻCZYZNA;55909
SYLWESTER;MĘŻCZYZNA;54631
NIKODEM;MĘŻCZYZNA;51953
OLIWIER;MĘŻCZYZNA;51813
LEON;MĘŻCZYZNA;49640
ALAN;MĘŻCZYZNA;49258
WŁODZIMIERZ;MĘŻCZYZNA;48815
SERHII;MĘŻCZYZNA;48077
CEZARY;MĘŻCZYZNA;45447
ZENON;MĘŻCZYZNA;44926
ANDRII;MĘŻCZYZNA;43906
VOLODYMYR;MĘŻCZYZNA;41067
NORBERT;MĘŻCZYZNA;39835
GABRIEL;MĘŻCZYZNA;39393
