Full list of first forenames given to boys, Scotland, 2021 (final) in rank order,,,,,,,,,
,,,,,,,,,
NB: * indicates that, sadly, a baby who was given that first forename has since died.,,,,,,,,,
,,,,,,,,,
Rank1,Boys' names,Number of babies,NB,,,,,,
,,,,,,,,,
156=, CHRISTOPHER, 32, , , , , , ,
156=, COREY, 32, , , , , , ,
156=, JAKE, 32, *, , , , , ,
160=, ELI, 31, , , , , , ,
160=, JAXSON, 31, , , , , , ,
160=, KAIDEN, 31, *, , , , , ,
163, XANDER, 30, , , , , , ,
164=, KIAN, 29, , , , , , ,
164=, OLLY, 29, *, , , , , ,
164=, ROCCO, 29, , , , , , ,
164=, ZANDER, 29, , , , , , ,
168=, HAYDEN, 28, , , , , , ,
168=, MOHAMMAD, 28, , , , , , ,
168=, OAKLEY, 28, , , , , , ,
168=, RUAIRI, 28, , , , , , ,
172=, CIAN, 27, *, , , , , ,
172=, CONNELL, 27, , , , , , ,
172=, ENZO, 27, , , , , , ,
172=, JASPER, 27, , , , , , ,
172=, JONAH, 27, , , , , , ,
172=, MILES, 27, , , , , , ,
172=, MILO, 27, , , , , , ,
172=, OSKAR, 27, , , , , , ,
172=, SPENCER, 27, , , , , , ,
172=, ZAK, 27, , , , , , ,
182=, CHARLES, 26, , , , , , ,
182=, EWAN, 26, , , , , , ,
182=, LAYTON, 26, *, , , , , ,
182=, RIO, 26, , , , , , ,
186=, ASHTON, 25, , , , , , ,
186=, AXEL, 25, , , , , , ,
186=, FINDLAY, 25, , , , , , ,
186=, FREDERICK, 25, , , , , , ,
186=, JASON, 25, , , , , , ,
191=, ELLIOTT, 24, , , , , , ,
191=, GREGOR, 24, , , , , , ,
191=, HECTOR, 24, , , , , , ,
191=, JAY, 24, , , , , , ,
191=, ODIN, 24, , , , , , ,
191=, ORAN, 24, , , , , , ,
191=, SCOTT, 24, , , , , , ,
191=, SEAN, 24, *, , , , , ,
199=, ABEL, 23, , , , , , ,
199=, CAMPBELL, 23, *, , , , , ,
199=, DARRAGH, 23, , , , , , ,
199=, DOMINIC, 23, , , , , , ,
199=, EDWARD, 23, , , , , , ,
199=, RIAN, 23, , , , , , ,
199=, RIVER, 23, , , , , , ,
199=, YUSUF, 23, , , , , , ,
207=, BEAU, 22, , , , , , ,
207=, COLTON, 22, , , , , , ,
207=, JOEL, 22, , , , , , ,
207=, KALEB, 22, , , , , , ,
207=, KERR, 22, , , , , , ,
207=, MUNRO, 22, , , , , , ,
213=, ALASDAIR, 21, , , , , , ,
213=, CRUZ, 21, , , , , , ,
213=, DOUGLAS, 21, , , , , , ,
213=, ELIAS, 21, , , , , , ,
213=, JAXX, 21, , , , , , ,
213=, KEVIN, 21, , , , , , ,
213=, NIALL, 21, , , , , , ,
213=, TRAVIS, 21, , , , , , ,
221=, CIARAN, 20, , , , , , ,
221=, FILIP, 20, , , , , , ,
221=, HUGH, 20, , , , , , ,
221=, JACE, 20, , , , , , ,
221=, LEIGHTON, 20, , , , , , ,
221=, LUKA, 20, , , , , , ,
221=, MAC, 20, *, , , , , ,
221=, MARK, 20, , , , , , ,
221=, NICHOLAS, 20, , , , , , ,
221=, RUDI, 20, , , , , , ,
221=, TOBY, 20, , , , , , ,
221=, VINCENT, 20, , , , , , ,
233=, ASHER, 19, , , , , , ,
233=, BILLY, 19, , , , , , ,
233=, DUNCAN, 19, , , , , , ,
233=, JUNIOR, 19, *, , , , , ,
233=, KOBE, 19, , , , , , ,
233=, LENNOX, 19, , , , , , ,
233=, MATEO, 19, , , , , , ,
233=, MILLER, 19, , , , , , ,
233=, OISIN, 19, , , , , , ,
233=, PAUL, 19, , , , , , ,
233=, REMY, 19, , , , , , ,
244=, ALISTAIR, 18, , , , , , ,
244=, BOBBY, 18, , , , , , ,
244=, CHESTER, 18, , , , , , ,
244=, COHEN, 18, , , , , , ,
244=, EESA, 18, , , , , , ,
244=, IBRAHIM, 18, , , , , , ,
244=, JONATHAN, 18, , , , , , ,
244=, JULIAN, 18, , , , , , ,
244=, MAXWELL, 18, , , , , , ,
244=, NOLAN, 18, , , , , , ,
244=, OMAR, 18, , , , , , ,
244=, QUINN, 18, , , , , , ,
244=, REX, 18, , , , , , ,
244=, ROSS, 18, , , , , , ,
258=, ALI, 17, , , , , , ,
258=, EDEN, 17, , , , , , ,
258=, NATHANIEL, 17, *, , , , , ,
258=, PHOENIX, 17, , , , , , ,
262=, ARCHER, 16, , , , , , ,
262=, AYAAN, 16, , , , , , ,
262=, BAILEY, 16, , , , , , ,
262=, DANNY, 16, , , , , , ,
262=, KIERAN, 16, , , , , , ,
262=, KIT, 16, , , , , , ,
262=, LAUCHLAN, 16, , , , , , ,
262=, PETER, 16, , , , , , ,
262=, TOBIAS, 16, , , , , , ,
262=, TOM, 16, , , , , , ,
262=, TORIN, 16, , , , , , ,
273=, ACE, 15, , , , , , ,
273=, ALBERT, 15, *, , , , , ,
273=, IVAN, 15, , , , , , ,
273=, JAN, 15, , , , , , ,
273=, LEONARDO, 15, , , , , , ,
273=, LUKAS, 15, , , , , , ,
273=, MATTEO, 15, , , , , , ,
273=, MYLO, 15, , , , , , ,
273=, RALPH, 15, , , , , , ,
273=, REECE, 15, , , , , , ,
273=, RUARI, 15, , , , , , ,
273=, SETH, 15, , , , , , ,
273=, STEPHEN, 15, , , , , , ,
286=, ALAN, 14, , , , , , ,
286=, AYDEN, 14, , , , , , ,
286=, BRANDON, 14, , , , , , ,
286=, CAIDEN, 14, , , , , , ,
286=, CONALL, 14, , , , , , ,
286=, DECLAN, 14, *, , , , , ,
286=, HARLEY, 14, , , , , , ,
286=, JESSE, 14, , , , , , ,
286=, KARSON, 14, , , , , , ,
286=, KODY, 14, , , , , , ,
286=, NIKODEM, 14, , , , , , ,
297=, ANTONI, 13, , , , , , ,
297=, BLAINE, 13, , , , , , ,
297=, BODHI, 13, , , , , , ,
297=, CLARK, 13, *, , , , , ,
297=, COLBY, 13, , , , , , ,
297=, CORMAC, 13, , , , , , ,
297=, DOMINIK, 13, , , , , , ,
297=, EOIN, 13, , , , , , ,
297=, IVOR, 13, , , , , , ,
297=, JENSON, 13, , , , , , ,
297=, MARTIN, 13, , , , , , ,
297=, MAXIMILIAN, 13, , , , , , ,
297=, MICAH, 13, *, , , , , ,
297=, MUHAMMED, 13, , , , , , ,
297=, MURDO, 13, *, , , , , ,
297=, NATE, 13, , , , , , ,
297=, OTIS, 13, , , , , , ,
297=, ROHAN, 13, , , , , , ,
297=, STANLEY, 13, , , , , , ,
316=, ALEKSANDER, 12, , , , , , ,
316=, CASPER, 12, , , , , , ,
316=, FRANCIS, 12, , , , , , ,
316=, KEEGAN, 12, , , , , , ,
316=, KINGSLEY, 12, , , , , , ,
316=, KOLE, 12, , , , , , ,
316=, MACK, 12, , , , , , ,
316=, MUSA, 12, , , , , , ,
316=, PHILIP, 12, , , , , , ,
316=, RUDY, 12, , , , , , ,
316=, RUPERT, 12, , , , , , ,
316=, SHANE, 12, , , , , , ,
328=, ADRIAN, 11, , , , , , ,
328=, AHMED, 11, *, , , , , ,
328=, ARCHIBALD, 11, , , , , , ,
328=, ARI, 11, *, , , , , ,
328=, AVERY, 11, , , , , , ,
328=, BROOKS, 11, , , , , , ,
328=, CAILEAN, 11, , , , , , ,
328=, CALLEN, 11, , , , , , ,
328=, DAMIAN, 11, , , , , , ,
328=, DEXTER, 11, , , , , , ,
328=, JAYCE, 11, , , , , , ,
328=, KARTER, 11, , , , , , ,
328=, KILLIAN, 11, , , , , , ,
328=, LAWSON, 11, , , , , , ,
328=, LENNON, 11, , , , , , ,
328=, MARCEL, 11, , , , , , ,
328=, MARCO, 11, , , , , , ,
328=, MOHAMED, 11, , , , , , ,
328=, OZZY, 11, , , , , , ,
328=, RICHARD, 11, , , , , , ,
328=, ROMEO, 11, , , , , , ,
328=, RUARAIDH, 11, , , , , , ,
328=, SAUL, 11, , , , , , ,
328=, TAYLOR, 11, , , , , , ,
328=, VINNIE, 11, , , , , , ,
353=, BRYCE, 10, , , , , , ,
353=, CASEY, 10, , , , , , ,
353=, CAYDEN, 10, , , , , , ,
