"Full list of first forenames given to boys, Scotland, 2021 (final) in rank order",,,,,,,,,
,,,,,,,,,
"NB: * indicates that, sadly, a baby who was given that first forename has since died.",,,,,,,,,
,,,,,,,,,
Rank1,Boys' names,Number of babies,NB,,,,,,
,,,,,,,,,
186=,Ashton,25,,,,,,,
186=,Axel,25,,,,,,,
186=,Findlay,25,,,,,,,
186=,Frederick,25,,,,,,,
186=,Jason,25,,,,,,,
191=,Elliott,24,,,,,,,
191=,Gregor,24,,,,,,,
191=,Hector,24,,,,,,,
191=,Jay,24,,,,,,,
191=,Odin,24,,,,,,,
191=,Oran,24,,,,,,,
191=,Scott,24,,,,,,,
191=,Sean,24,*,,,,,,
199=,Abel,23,,,,,,,
199=,Campbell,23,*,,,,,,
199=,Darragh,23,,,,,,,
199=,Dominic,23,,,,,,,
199=,Edward,23,,,,,,,
199=,Rian,23,,,,,,,
199=,River,23,,,,,,,
199=,Yusuf,23,,,,,,,
207=,Beau,22,,,,,,,
207=,Colton,22,,,,,,,
207=,Joel,22,,,,,,,
207=,Kaleb,22,,,,,,,
207=,Kerr,22,,,,,,,
207=,Munro,22,,,,,,,
213=,Alasdair,21,,,,,,,
213=,Cruz,21,,,,,,,
213=,Douglas,21,,,,,,,
213=,Elias,21,,,,,,,
213=,Jaxx,21,,,,,,,
213=,Kevin,21,,,,,,,
213=,Niall,21,,,,,,,
213=,Travis,21,,,,,,,
221=,Ciaran,20,,,,,,,
221=,Filip,20,,,,,,,
221=,Hugh,20,,,,,,,
221=,Jace,20,,,,,,,
221=,Leighton,20,,,,,,,
221=,Luka,20,,,,,,,
221=,Mac,20,*,,,,,,
221=,Mark,20,,,,,,,
221=,Nicholas,20,,,,,,,
221=,Rudi,20,,,,,,,
221=,Toby,20,,,,,,,
221=,Vincent,20,,,,,,,
233=,Asher,19,,,,,,,
233=,Billy,19,,,,,,,
233=,Duncan,19,,,,,,,
233=,Junior,19,*,,,,,,
233=,Kobe,19,,,,,,,
233=,Lennox,19,,,,,,,
233=,Mateo,19,,,,,,,
233=,Miller,19,,,,,,,
233=,Oisin,19,,,,,,,
233=,Paul,19,,,,,,,
233=,Remy,19,,,,,,,
244=,Alistair,18,,,,,,,
244=,Bobby,18,,,,,,,
244=,Chester,18,,,,,,,
244=,Cohen,18,,,,,,,
244=,Eesa,18,,,,,,,
244=,Ibrahim,18,,,,,,,
244=,Jonathan,18,,,,,,,
244=,Julian,18,,,,,,,
244=,Maxwell,18,,,,,,,
244=,Nolan,18,,,,,,,
244=,Omar,18,,,,,,,
244=,Quinn,18,,,,,,,
244=,Rex,18,,,,,,,
244=,Ross,18,,,,,,,
258=,Ali,17,,,,,,,
258=,Eden,17,,,,,,,
258=,Nathaniel,17,*,,,,,,
258=,Phoenix,17,,,,,,,
262=,Archer,16,,,,,,,
262=,Ayaan,16,,,,,,,
262=,Bailey,16,,,,,,,
262=,Danny,16,,,,,,,
262=,Kieran,16,,,,,,,
262=,Kit,16,,,,,,,
262=,Lauchlan,16,,,,,,,
262=,Peter,16,,,,,,,
262=,Tobias,16,,,,,,,
262=,Tom,16,,,,,,,
262=,Torin,16,,,,,,,
273=,Ace,15,,,,,,,
273=,Albert,15,*,,,,,,
273=,Ivan,15,,,,,,,
273=,Jan,15,,,,,,,
273=,Leonardo,15,,,,,,,
273=,Lukas,15,,,,,,,
273=,Matteo,15,,,,,,,
273=,Mylo,15,,,,,,,
273=,Ralph,15,,,,,,,
273=,Reece,15,,,,,,,
273=,Ruari,15,,,,,,,
273=,Seth,15,,,,,,,
273=,Stephen,15,,,,,,,
286=,Alan,14,,,,,,,
286=,Ayden,14,,,,,,,
286=,Brandon,14,,,,,,,
286=,Caiden,14,,,,,,,
286=,Conall,14,,,,,,,
286=,Declan,14,*,,,,,,
286=,Harley,14,,,,,,,
286=,Jesse,14,,,,,,,
286=,Karson,14,,,,,,,
286=,Kody,14,,,,,,,
286=,Nikodem,14,,,,,,,
297=,Antoni,13,,,,,,,
297=,Blaine,13,,,,,,,
297=,Bodhi,13,,,,,,,
297=,Clark,13,*,,,,,,
297=,Colby,13,,,,,,,
297=,Cormac,13,,,,,,,
297=,Dominik,13,,,,,,,
297=,Eoin,13,,,,,,,
297=,Ivor,13,,,,,,,
297=,Jenson,13,,,,,,,
297=,Martin,13,,,,,,,
297=,Maximilian,13,,,,,,,
297=,Micah,13,*,,,,,,
297=,Muhammed,13,,,,,,,
297=,Murdo,13,*,,,,,,
297=,Nate,13,,,,,,,
297=,Otis,13,,,,,,,
297=,Rohan,13,,,,,,,
297=,Stanley,13,,,,,,,
316=,Aleksander,12,,,,,,,
316=,Casper,12,,,,,,,
316=,Francis,12,,,,,,,
316=,Keegan,12,,,,,,,
316=,Kingsley,12,,,,,,,
316=,Kole,12,,,,,,,
316=,Mack,12,,,,,,,
316=,Musa,12,,,,,,,
316=,Philip,12,,,,,,,
316=,Rudy,12,,,,,,,
316=,Rupert,12,,,,,,,
316=,Shane,12,,,,,,,
328=,Adrian,11,,,,,,,
328=,Ahmed,11,*,,,,,,
328=,Archibald,11,,,,,,,
328=,Ari,11,*,,,,,,
328=,Avery,11,,,,,,,
328=,Brooks,11,,,,,,,
328=,Cailean,11,,,,,,,
328=,Callen,11,,,,,,,
328=,Damian,11,,,,,,,
328=,Dexter,11,,,,,,,
328=,Jayce,11,,,,,,,
328=,Karter,11,,,,,,,
328=,Killian,11,,,,,,,
328=,Lawson,11,,,,,,,
328=,Lennon,11,,,,,,,
328=,Marcel,11,,,,,,,
328=,Marco,11,,,,,,,
328=,Mohamed,11,,,,,,,
328=,Ozzy,11,,,,,,,
328=,Richard,11,,,,,,,
328=,Romeo,11,,,,,,,
328=,Ruaraidh,11,,,,,,,
328=,Saul,11,,,,,,,
328=,Taylor,11,,,,,,,
328=,Vinnie,11,,,,,,,
353=,Bryce,10,,,,,,,
353=,Casey,10,,,,,,,
353=,Cayden,10,,,,,,,
353=,Fionn,10,,,,,,,
353=,Fletcher,10,,,,,,,
353=,Franciszek,10,,,,,,,
353=,Frank,10,,,,,,,
353=,Fynn,10,,,,,,,
353=,Koa,10,,,,,,,
353=,Kobi,10,,,,,,,
353=,Lee,10,,,,,,,
353=,Nairn,10,,,,,,,
353=,Neil,10,,,,,,,
353=,Olivier,10,,,,,,,
353=,Roan,10,,,,,,,
353=,Sorley,10,,,,,,,
353=,Yahya,10,*,,,,,,
353=,Zain,10,,,,,,,
353=,Zayn,10,,,,,,,
372=,Caden,9,,,,,,,
372=,Coen,9,,,,,,,
372=,Conan,9,,,,,,,
372=,Damon,9,,,,,,,
372=,Dawson,9,,,,,,,
372=,Freddy,9,,,,,,,
372=,Grant,9,,,,,,,
372=,Haris,9,,,,,,,
372=,Hendrix,9,,,,,,,
372=,Ian,9,,,,,,,
372=,Jakub,9,,,,,,,
372=,Jensen,9,,,,,,,
372=,Kacper,9,,,,,,,
372=,Kayson,9,,,,,,,
372=,Kylo,9,,,,,,,
372=,Leyton,9,,,,,,,
372=,Lomond,9,,,,,,,
372=,Milan,9,*,,,,,,
372=,Nicolas,9,,,,,,,
372=,Ramsay,9,,,,,,,
372=,Roddy,9,,,,,,,
372=,Steven,9,,,,,,,
372=,Syed,9,,,,,,,
372=,Szymon,9,,,,,,,
372=,Ted,9,,,,,,,
372=,Teodor,9,,,,,,,
372=,Tymon,9,,,,,,,
372=,Wallace,9,,,,,,,
372=,Wyatt,9,,,,,,,
401=,Brayden,8,,,,,,,
401=,Broden,8,,,,,,,
401=,Cairn,8,,,,,,,
401=,Caolan,8,,,,,,,
401=,Christian,8,,,,,,,
401=,Conlan,8,,,,,,,
401=,Darren,8,,,,,,,
401=,Dean,8,,,,,,,
401=,Donald,8,,,,,,,
401=,Eddie,8,,,,,,,
401=,Eoghan,8,,,,,,,
401=,Greyson,8,,,,,,,
401=,Hassan,8,,,,,,,
401=,Idris,8,,,,,,,
401=,Issac,8,,,,,,,
401=,Joe,8,,,,,,,
401=,Kasper,8,,,,,,,
401=,Kenzie,8,,,,,,,
401=,Knox,8,,,,,,,
401=,Kylian,8,*,,,,,,
401=,Leonidas,8,,,,,,,
401=,Mackenzie,8,,,,,,,
401=,Maddox,8,,,,,,,
401=,Malachy,8,,,,,,,
401=,Malcolm,8,*,,,,,,
401=,Marshall,8,*,,,,,,
401=,Mikolaj,8,,,,,,,
401=,Mitchell,8,,,,,,,
401=,Mustafa,8,,,,,,,
401=,Niko,8,,,,,,,
401=,Ruan,8,,,,,,,
401=,Sandy,8,,,,,,,
401=,Shae,8,,,,,,,
401=,Teddie,8,,,,,,,
401=,Tomas,8,,,,,,,
401=,Troy,8,,,,,,,
437=,Abdul,7,,,,,,,
437=,Ahmad,7,,,,,,,
437=,Ajay,7,,,,,,,
437=,Alec,7,,,,,,,
437=,Antonio,7,,,,,,,
437=,Aran,7,,,,,,,
437=,Aron,7,,,,,,,
437=,Azaan,7,,,,,,,
437=,Brooklyn,7,,,,,,,
437=,Bruce,7,,,,,,,
437=,Carlo,7,*,,,,,,
437=,Colin,7,,,,,,,
437=,Colson,7,,,,,,,
437=,Conal,7,,,,,,,
437=,Craig,7,,,,,,,
437=,Drew,7,,,,,,,
437=,Edwin,7,,,,,,,
437=,Hamza,7,,,,,,,
437=,Ivar,7,,,,,,,
437=,Justin,7,,,,,,,
437=,Kairo,7,,,,,,,
437=,Kane,7,,,,,,,
437=,Lincoln,7,,,,,,,
437=,Lochie,7,*,,,,,,
437=,Lochlin,7,,,,,,,
437=,Lorenzo,7,,,,,,,
437=,Markus,7,,,,,,,
437=,Marley,7,,,,,,,
437=,Mikey,7,,,,,,,
437=,Odhran,7,,,,,,,
437=,Rayan,7,,,,,,,
437=,Remi,7,,,,,,,
437=,Ritchie,7,,,,,,,
437=,Rome,7,,,,,,,
437=,Sami,7,,,,,,,
437=,Stanislaw,7,,,,,,,
437=,Stefan,7,,,,,,,
437=,Tristan,7,,,,,,,
437=,Zayaan,7,,,,,,,
437=,Ziggy,7,,,,,,,
477=,Abdullah,6,,,,,,,
477=,Atlas,6,,,,,,,
477=,Aydin,6,,,,,,,
477=,Bentley,6,,,,,,,
477=,Brady,6,,,,,,,
477=,Brian,6,,,,,,,
477=,Cai,6,,,,,,,
477=,Cairo,6,,,,,,,
477=,Cass,6,,,,,,,
477=,Clay,6,,,,,,,
477=,Clayton,6,,,,,,,
477=,Colt,6,,,,,,,
477=,Corran,6,,,,,,,
477=,Eric,6,,,,,,,
477=,Franco,6,,,,,,,
477=,Giovanni,6,,,,,,,
477=,Gordon,6,,,,,,,
477=,Gray,6,,,,,,,
477=,Henryk,6,,,,,,,
477=,Iain,6,*,,,,,,
477=,Ibraheem,6,,,,,,,
477=,Isaiah,6,,,,,,,
477=,Iver,6,,,,,,,
477=,Jaxxon,6,,,,,,,
477=,Jett,6,*,,,,,,
477=,Johnny,6,,,,,,,
477=,Kaden,6,,,,,,,
477=,Kaelan,6,,,,,,,
477=,Keir,6,,,,,,,
477=,Klay,6,,,,,,,
477=,Kodi,6,,,,,,,
477=,Kyren,6,,,,,,,
477=,Laith,6,,,,,,,
477=,Lake,6,,,,,,,
477=,Leonard,6,,,,,,,
477=,Lucca,6,,,,,,,
477=,Lyall,6,,,,,,,
477=,Marc,6,,,,,,,
477=,Mayson,6,,,,,,,
477=,Nikolas,6,,,,,,,
477=,Orrin,6,,,,,,,
477=,Raife,6,,,,,,,
477=,Ralphie,6,,,,,,,
477=,Raymond,6,,,,,,,
477=,Rayyan,6,,,,,,,
477=,Reid,6,,,,,,,
477=,Rueben,6,,,,,,,
477=,Sawyer,6,,,,,,,
477=,Shea,6,*,,,,,,
477=,Tadhg,6,,,,,,,
477=,Tiernan,6,,,,,,,
477=,Torran,6,,,,,,,
477=,Tymoteusz,6,,,,,,,
477=,Victor,6,,,,,,,
477=,Walter,6,,,,,,,
477=,Zaviyar,6,,,,,,,
533=,Alexandru,5,,,,,,,
533=,Alfred,5,,,,,,,
533=,Alvey,5,,,,,,,
533=,Amir,5,,,,,,,
533=,Aodhan,5,,,,,,,
533=,Arron,5,,,,,,,
533=,Aulay,5,,,,,,,
533=,Bruno,5,,,,,,,
533=,Cayde,5,,,,,,,
533=,Curtis,5,,,,,,,
533=,Dario,5,,,,,,,
533=,Deacon,5,,,,,,,
533=,Eduard,5,,,,,,,
533=,Erik,5,,,,,,,
533=,Ernest,5,,,,,,,
533=,Fabian,5,,,,,,,
533=,Ford,5,,,,,,,
533=,Gary,5,,,,,,,
533=,Glen,5,,,,,,,
533=,Hadi,5,,,,,,,
533=,Haider,5,,,,,,,
533=,Harper,5,,,,,,,
533=,Hubert,5,,,,,,,
533=,Ismail,5,,,,,,,
533=,Jaden,5,,,,,,,
533=,Jock,5,,,,,,,
533=,Julius,5,,,,,,,
533=,Kade,5,,,,,,,
533=,Kareem,5,,,,,,,
533=,Kenneth,5,,,,,,,
533=,Kiaan,5,,,,,,,
533=,Koah,5,,,,,,,
533=,Koby,5,,,,,,,
533=,Kolby,5,,,,,,,
533=,Kolton,5,,,,,,,
533=,Lennie,5,,,,,,,
533=,Lio,5,,,,,,,
533=,Lockie,5,,,,,,,
533=,Loki,5,,,,,,,
533=,Malik,5,,,,,,,
533=,Mario,5,,,,,,,
533=,Matei,5,,,,,,,
533=,Maverick,5,,,,,,,
533=,Maximus,5,,,,,,,
533=,Michal,5,,,,,,,
533=,Oban,5,,,,,,,
533=,Oliwier,5,,,,,,,
533=,Oren,5,,,,,,,
533=,Orson,5,,,,,,,
533=,Ossian,5,,,,,,,
533=,Preston,5,,,,,,,
533=,Rafael,5,,,,,,,
533=,Rafe,5,,,,,,,
533=,Rafferty,5,,,,,,,
533=,Raphael,5,,,,,,,
533=,Reagan,5,,,,,,,
533=,Regan,5,,,,,,,
533=,Renz,5,,,,,,,
533=,Riaan,5,,,,,,,
533=,Ryder,5,,,,,,,
533=,Santino,5,,,,,,,
533=,Sloan,5,,,,,,,
533=,Solomon,5,,,,,,,
533=,Stewart,5,,,,,,,
533=,Teo,5,,,,,,,
533=,Timothy,5,,,,,,,
533=,Umar,5,,,,,,,
533=,Valentino,5,,,,,,,
533=,Vinny,5,,,,,,,
533=,Zakariya,5,,,,,,,
533=,Zane,5,,,,,,,
533=,Zayan,5,,,,,,,
605=,Aadam,4,,,,,,,
605=,Aayan,4,,,,,,,
605=,Adriel,4,,,,,,,
605=,Alexandros,4,,,,,,,
605=,Alvie,4,,,,,,,
605=,Andrew-James,4,,,,,,,
605=,Antony,4,,,,,,,
605=,Arham,4,,,,,,,
605=,Artur,4,,,,,,,
605=,Aryan,4,,,,,,,
605=,Asa,4,,,,,,,
605=,Aston,4,,,,,,,
605=,Aubrey,4,,,,,,,
605=,August,4,,,,,,,
605=,Avyaan,4,,,,,,,
605=,Ayan,4,,,,,,,
605=,Ayoub,4,,,,,,,
605=,Boyd,4,,,,,,,
605=,Brae,4,,,,,,,
605=,Braxton,4,,,,,,,
605=,Buddy,4,,,,,,,
605=,Cain,4,,,,,,,
605=,Chase,4,,,,,,,
605=,Che,4,,,,,,,
605=,Coby,4,,,,,,,
605=,Codi,4,,,,,,,
605=,Colbie,4,,,,,,,
605=,Coll,4,,,,,,,
605=,Cree,4,,,,,,,
605=,Darius,4,,,,,,,
605=,Dax,4,,,,,,,
605=,Devlin,4,,,,,,,
605=,Dillon,4,,,,,,,
605=,Dougie,4,,,,,,,
605=,Easton,4,,,,,,,
605=,Edoardo,4,,,,,,,
605=,Emil,4,,,,,,,
605=,Emir,4,,,,,,,
605=,Emmett,4,,,,,,,
605=,Ewen,4,,,,,,,
605=,Finnley,4,,,,,,,
605=,Fox,4,,,,,,,
